file,private_vb,that_del,contract,vb_present,pro_2,do_pro,pro_dem,emphatic,pro_1,pro_it,vb_be,sub_conj_caus,disc_particle,pro_nom,hedge,amplifr,wh_ques,mod_poss,coord_conj_cls,wh_cls,prep_final,nn_all,prep,jj_attr,vb_past,pro_3,vb_perfect,vb_public,wh_rel_obj,wh_rel_subj,wh_rel_pipe,coord_conj_phrs,nn_nom,adv_time,adv_place,adv,infinitive,mod_pred,vb_suasive,sub_conj_cond,mod_necess,split_aux,conj_advl,passive_short,passive_by,passive_postnom,sub_conj_othr,th_vb,adv_down,jj_pred,mod_all,conj_all,passive_all,wh_all,wh_rel_all,jj_all,pro_all,vb_have,vb_all,vb_progress,that_rel,wh_comm_vb,wh_att_vb,wh_fact_vb,wh_likely_vb,comm_vb_other,att_vb_other,fact_vb_other,likely_vb_other,jj_att_pred,jj_epist_pred,jj_att_other,jj_epist_other,nn_stance_pp,det_nn_stance,nn_stance_other,all_indef_art,all_def_art,nn_stance_new,nn_common,nn_proper,nn_premod,,,,,,,,,,,,,,,,,,,,,th_vb_comm,th_vb_att,th_vb_fact,th_vb_likely,th_jj_att,th_jj_fact,th_jj_likely,th_nn_nonfact,th_nn_att,th_nn_fact,th_nn_likely,to_vb_speech,to_vb_mental,to_vb_desire,to_vb_effort,to_vb_prob,to_jj_certain,to_jj_able,to_jj_affect,to_jj_ease,to_jj_eval,to_nn_stance_all,advl_nonfact,advl_att,advl_fact,advl_likely,,th_vb_stance_all,th_jj_stance_all,th_nn_stance_all,th_stange_all,to_vb_stance_all,to_jj_stance_all,to_stance_all,advl_stance_all,,,,,,,,,,,,,,ipv_act,tpv_act,tpv_mental,tpv_mental,ipv_occur,pv_copular,pv_aspect,nn_human,nn_process,nn_cog,nn_abstact,nn_concrete,nn_technical,nn_quant,nn_place,nn_group,jj_size,jj_time,jj_color,jj_eval,jj_relation,jj_topic,vb_act,vb_comm,vb_mental,vb_cause,vb_occur,vb_exist,vb_aspect,,dim_1,dim_2,dim_3,dim_4,dim_5,file,tt_ratio,word_length,word_count
or_r2_guide_10_conversation_e_1.txt,0,0,0,97.6,24.4,0,0,0,0,0,0,0,0,0,0,0,0,0,24.4,0,0,585.4,170.7,48.8,0,0,0,0,0,0,0,0,73.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.4,0,24.4,0,0,0,73.2,24.4,0,97.6,0,0,0,0,0,0,0,0,0,0,24.4,0,24.4,0,0,0,0,24.4,48.8,0,268.3,195.1,97.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.4,0,48.8,0,0,0,24.4,0,24.4,0,0,0,0,0,48.8,0,24.4,0,0,0,0,0,-26.13,-5.73,6.05,-6.61,-3.63,                         or_r2_guide_10_conversation_e_1.txt,8.8,4.5,41
or_r2_guide_10_conversation_e_2.txt,0,0,25.6,153.8,25.6,0,0,0,25.6,25.6,0,0,0,0,0,0,0,0,0,0,0,282.1,128.2,51.3,0,0,0,51.3,0,0,0,0,0,0,0,76.9,0,51.3,0,25.6,0,0,25.6,25.6,0,0,0,25.6,0,0,51.3,25.6,25.6,0,0,51.3,51.3,0,153.8,0,0,0,0,0,0,25.6,0,25.6,0,0,0,0,0,0,0,0,0,51.3,0,205.1,51.3,25.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.6,0,0,25.6,0,0,25.6,0,0,0,25.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.6,0,0,0,0,25.6,0,0,0,0,51.3,0,0,0,0,0,0,-12.49,3.77,-3.4,17.26,16.28,                         or_r2_guide_10_conversation_e_2.txt,8.8,4.2,39
or_r2_guide_11_conversation_j_2.txt,14.5,0,0,101.4,58,0,0,0,0,14.5,0,0,0,0,0,0,0,14.5,0,0,0,231.9,144.9,43.5,0,0,0,14.5,0,0,0,0,0,14.5,0,43.5,29,14.5,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,58,58,14.5,130.4,0,0,0,0,0,0,14.5,0,14.5,0,0,0,0,0,0,0,0,29,72.5,0,202.9,29,43.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,29,0,43.5,14.5,0,0,0,0,0,0,0,58,0,14.5,0,0,14.5,0,0,-8.59,-3.04,-5.64,-3.15,-3.63,                         or_r2_guide_11_conversation_j_2.txt,12.3,4,69
or_r2_guide_13_conversation_j_1.txt,27,0,0,135.1,54.1,0,27,0,27,0,0,0,0,0,0,0,0,0,0,0,0,270.3,81.1,27,0,0,0,0,0,0,0,0,81.1,0,0,27,0,54.1,0,0,0,0,0,0,0,0,0,0,27,0,54.1,0,0,0,0,54.1,81.1,27,135.1,0,0,0,0,0,0,0,27,0,0,0,0,54.1,0,0,0,0,27,54.1,0,162.2,27,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,54.1,27,0,0,0,0,0,27,54.1,0,27,0,0,0,0,0,-4.9,-5.73,5.07,6.26,-3.63,                         or_r2_guide_13_conversation_j_1.txt,7.8,4.4,37
or_r2_guide_15_conversation_j_2.txt,0,0,0,85.7,0,0,0,0,57.1,57.1,0,0,0,0,0,0,0,0,0,0,0,314.3,171.4,57.1,0,28.6,0,0,0,0,0,0,0,0,28.6,85.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.1,85.7,28.6,85.7,0,0,0,0,0,0,0,0,0,0,0,0,28.6,0,0,0,0,0,57.1,0,200,85.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.6,0,0,0,0,0,0,0,0,0,28.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.7,0,28.6,0,0,0,0,0,0,0,0,0,0,0,0,0,-16.1,-4.46,-12.3,-6.61,-3.63,                         or_r2_guide_15_conversation_j_2.txt,6.5,4.6,35
or_r2_guide_17_conversation_j_2.txt,20.8,0,0,0,0,0,0,0,0,41.7,0,20.8,0,0,0,0,0,0,0,0,0,250,145.8,20.8,104.2,41.7,0,0,0,0,0,0,62.5,20.8,0,20.8,20.8,0,0,0,0,0,0,20.8,0,0,0,0,0,0,0,20.8,20.8,0,0,41.7,41.7,0,125,20.8,0,0,0,0,0,0,0,20.8,0,0,0,0,0,0,0,0,20.8,104.2,0,145.8,20.8,20.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.8,0,0,41.7,0,0,0,0,0,0,0,20.8,0,20.8,0,0,0,0,0,-4.24,-0.45,-1.82,-6.61,-0.47,                         or_r2_guide_17_conversation_j_2.txt,9.5,4.7,48
or_r2_guide_20_conversation_j_1.txt,0,0,21.7,152.2,21.7,0,0,21.7,0,65.2,21.7,0,0,0,0,0,0,0,0,0,0,195.7,130.4,43.5,0,21.7,0,0,0,0,0,0,0,0,21.7,43.5,0,21.7,0,21.7,0,0,0,0,0,0,21.7,0,0,0,21.7,43.5,0,0,0,43.5,43.5,0,152.2,0,0,0,0,0,0,0,0,0,0,0,0,43.5,0,0,0,0,43.5,43.5,0,130.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.7,0,0,0,0,0,0,0,0,0,0,0,21.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.7,0,21.7,21.7,0,0,0,0,0,0,0,21.7,0,0,0,0,21.7,0,0,2.71,-4.76,-7.89,8.45,-3.63,                         or_r2_guide_20_conversation_j_1.txt,10,3.8,46
or_r2_guide_21_conversation_j_3.txt,0,0,0,129,0,0,0,0,0,0,0,0,0,0,0,16.1,0,0,0,0,0,338.7,64.5,129,16.1,16.1,0,0,0,0,0,0,64.5,0,16.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177.4,16.1,16.1,145.2,0,32.3,0,0,0,0,0,0,0,0,32.3,0,16.1,0,0,0,0,64.5,16.1,0,225.8,32.3,80.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.1,16.1,0,0,32.3,0,16.1,0,0,16.1,0,0,0,16.1,0,0,0,0,0,0,-19.69,-4.48,0.71,-6.61,-3.63,                         or_r2_guide_21_conversation_j_3.txt,11.8,4.8,62
or_r2_guide_24_conversation_j_3.txt,0,0,0,114.3,0,0,0,0,28.6,0,57.1,0,0,0,0,0,0,0,0,0,0,457.1,0,142.9,0,0,0,0,0,0,0,0,57.1,0,0,28.6,0,57.1,28.6,0,0,0,0,0,0,0,0,0,0,0,57.1,0,0,0,0,142.9,28.6,0,114.3,0,0,0,0,0,0,28.6,0,0,0,28.6,0,57.1,0,0,0,0,0,57.1,0,285.7,114.3,142.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.6,0,0,0,57.1,0,0,0,0,28.6,0,0,0,28.6,0,0,0,0,0,0,-21.15,-5.73,3.32,16.22,-3.63,                         or_r2_guide_24_conversation_j_3.txt,8.3,5,35
or_r2_guide_3_conversation_a_2.txt,0,0,27.8,83.3,27.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,361.1,138.9,83.3,0,0,0,0,0,0,0,0,27.8,0,27.8,55.6,0,0,0,27.8,0,0,0,0,0,27.8,0,0,27.8,0,0,27.8,27.8,0,0,83.3,27.8,0,111.1,0,0,0,0,0,0,0,0,0,0,0,0,27.8,0,0,0,0,0,55.6,0,194.4,55.6,55.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.8,0,27.8,0,0,0,0,0,0,0,0,27.8,0,0,0,0,0,0,0,0,0,-23.59,-5.73,-8.42,6.02,5.33,                          or_r2_guide_3_conversation_a_2.txt,8.3,4.3,36
