file,private_vb,that_del,contract,vb_present,pro_2,do_pro,pro_dem,emphatic,pro_1,pro_it,vb_be,sub_conj_caus,disc_particle,pro_nom,hedge,amplifr,wh_ques,mod_poss,coord_conj_cls,wh_cls,prep_final,nn_all,prep,jj_attr,vb_past,pro_3,vb_perfect,vb_public,wh_rel_obj,wh_rel_subj,wh_rel_pipe,coord_conj_phrs,nn_nom,adv_time,adv_place,adv,infinitive,mod_pred,vb_suasive,sub_conj_cond,mod_necess,split_aux,conj_advl,passive_short,passive_by,passive_postnom,sub_conj_othr,th_vb,adv_down,jj_pred,mod_all,conj_all,passive_all,wh_all,wh_rel_all,jj_all,pro_all,vb_have,vb_all,vb_progress,that_rel,wh_comm_vb,wh_att_vb,wh_fact_vb,wh_likely_vb,comm_vb_other,att_vb_other,fact_vb_other,likely_vb_other,jj_att_pred,jj_epist_pred,jj_att_other,jj_epist_other,nn_stance_pp,det_nn_stance,nn_stance_other,all_indef_art,all_def_art,nn_stance_new,nn_common,nn_proper,nn_premod,,,,,,,,,,,,,,,,,,,,,th_vb_comm,th_vb_att,th_vb_fact,th_vb_likely,th_jj_att,th_jj_fact,th_jj_likely,th_nn_nonfact,th_nn_att,th_nn_fact,th_nn_likely,to_vb_speech,to_vb_mental,to_vb_desire,to_vb_effort,to_vb_prob,to_jj_certain,to_jj_able,to_jj_affect,to_jj_ease,to_jj_eval,to_nn_stance_all,advl_nonfact,advl_att,advl_fact,advl_likely,,th_vb_stance_all,th_jj_stance_all,th_nn_stance_all,th_stange_all,to_vb_stance_all,to_jj_stance_all,to_stance_all,advl_stance_all,,,,,,,,,,,,,,ipv_act,tpv_act,tpv_mental,tpv_mental,ipv_occur,pv_copular,pv_aspect,nn_human,nn_process,nn_cog,nn_abstact,nn_concrete,nn_technical,nn_quant,nn_place,nn_group,jj_size,jj_time,jj_color,jj_eval,jj_relation,jj_topic,vb_act,vb_comm,vb_mental,vb_cause,vb_occur,vb_exist,vb_aspect,,dim_1,dim_2,dim_3,dim_4,dim_5,file,tt_ratio,word_length,word_count
or_r2_10_e_1.txt,0,0,0,95.2,23.8,0,0,0,0,0,0,0,0,0,0,0,0,0,23.8,0,0,595.2,166.7,47.6,0,0,0,0,0,0,0,0,71.4,0,0,0,0,0,0,23.8,0,0,0,0,0,0,0,0,0,23.8,0,47.6,0,0,0,71.4,23.8,0,95.2,0,0,0,0,0,0,0,0,0,0,23.8,0,23.8,0,0,0,0,23.8,23.8,0,261.9,214.3,95.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.8,0,47.6,0,0,0,0,0,23.8,0,0,0,0,0,47.6,0,23.8,0,0,0,0,0,-26.26,-5.73,5.93,4.22,-3.63,                                            or_r2_10_e_1.txt,9.3,4.5,42
or_r2_13_j_1.txt,27,0,0,135.1,54.1,0,27,0,27,0,0,0,0,0,0,0,0,0,0,0,0,243.2,81.1,27,0,0,0,0,0,0,0,0,81.1,0,0,27,0,54.1,0,0,0,0,0,0,0,0,0,0,27,0,54.1,0,0,0,0,81.1,81.1,27,135.1,0,0,0,0,0,0,0,27,0,0,0,0,54.1,0,0,0,0,27,54.1,0,135.1,27,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,54.1,27,0,0,0,0,0,27,54.1,0,27,0,0,0,0,0,-4.14,-5.73,5.07,6.26,-3.63,                                            or_r2_13_j_1.txt,7.8,4.4,37
or_r2_14_j_1.txt,0,0,0,104.2,41.7,0,0,0,20.8,0,0,0,0,0,0,0,0,20.8,20.8,0,0,270.8,125,41.7,0,0,0,0,0,20.8,0,0,0,0,20.8,0,0,0,20.8,20.8,0,0,0,20.8,0,0,0,0,0,0,20.8,41.7,20.8,0,20.8,41.7,62.5,0,104.2,20.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.5,41.7,0,125,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.7,20.8,0,0,0,0,0,0,0,0,0,0,0,0,20.8,0,0,-6.84,-5.73,5.26,9.58,-0.47,                                            or_r2_14_j_1.txt,10.5,4.2,48
or_r2_20_j_1.txt,0,0,21.7,152.2,21.7,0,0,21.7,0,65.2,21.7,0,0,0,0,0,0,0,0,0,21.7,217.4,130.4,21.7,0,21.7,0,0,0,0,0,0,0,0,0,43.5,0,21.7,0,21.7,0,0,0,0,0,0,21.7,0,0,0,21.7,43.5,0,0,0,21.7,43.5,0,152.2,0,0,0,0,0,0,0,0,0,0,0,0,43.5,0,0,0,0,43.5,43.5,0,152.2,0,21.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.7,0,0,0,0,0,0,0,0,0,0,0,21.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.7,0,21.7,21.7,0,0,0,0,0,0,0,21.7,0,0,0,0,21.7,0,0,11.31,-4.76,-1.5,8.45,-3.63,                                            or_r2_20_j_1.txt,9.8,3.8,46
or_r2_21_j_3.txt,0,0,0,125,0,0,0,0,0,0,0,0,0,0,0,17.9,0,0,0,0,0,339.3,71.4,142.9,17.9,17.9,0,0,0,0,0,0,71.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.9,0,0,0,0,0,196.4,17.9,17.9,142.9,0,35.7,0,0,0,0,0,0,0,0,35.7,0,17.9,0,0,0,0,53.6,17.9,0,196.4,35.7,53.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.9,0,0,17.9,0,17.9,0,0,17.9,0,0,0,17.9,0,0,0,0,0,0,-20.56,-4.35,5.93,-6.61,-3.63,                                            or_r2_21_j_3.txt,10.8,5,56
or_r2_6_e_1.txt,36.4,0,18.2,163.6,18.2,0,0,0,18.2,0,0,0,0,0,0,0,0,0,0,0,0,345.5,127.3,72.7,36.4,0,0,0,0,0,0,0,36.4,0,0,0,0,0,0,18.2,0,0,0,0,0,0,0,0,0,0,0,18.2,0,0,0,109.1,36.4,18.2,200,0,36.4,0,0,0,0,0,0,18.2,0,0,0,0,0,0,0,0,36.4,72.7,0,218.2,90.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.2,0,0,0,0,0,0,0,0,0,0,18.2,0,18.2,18.2,0,0,0,0,-17.59,-4.53,3.5,1.66,-3.63,                                             or_r2_6_e_1.txt,11,4.6,55
or_r2_6_e_2.txt,31.3,0,0,156.3,62.5,0,0,0,0,0,0,0,0,0,0,0,0,62.5,0,0,0,218.8,62.5,31.3,0,31.3,0,0,0,0,0,0,62.5,0,0,0,0,0,0,31.3,0,0,0,0,0,0,0,0,0,31.3,62.5,31.3,0,0,0,125,93.8,0,156.3,0,31.3,0,0,0,0,31.3,0,31.3,0,0,0,0,0,0,0,0,31.3,93.8,0,156.3,0,62.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.3,0,0,0,0,0,0,0,0,31.3,0,0,31.3,31.3,0,0,31.3,0,0,10.57,-4.34,5.31,7.6,-3.63,                                             or_r2_6_e_2.txt,7,4.2,32
or_r2_7_e_2.txt,15.2,0,0,75.8,45.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,348.5,151.5,15.2,0,0,0,0,0,0,0,0,15.2,0,30.3,45.5,0,0,0,0,0,0,0,15.2,0,15.2,0,15.2,0,0,0,0,30.3,0,0,106.1,45.5,0,106.1,0,0,0,0,0,0,0,0,0,0,0,0,30.3,0,0,0,0,15.2,60.6,0,212.1,90.9,90.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.2,0,0,15.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.3,45.5,0,30.3,0,0,0,0,0,0,0,0,30.3,0,15.2,0,0,0,0,0,-19.72,-5.73,-9.47,-6.61,3.56,                                             or_r2_7_e_2.txt,12.3,4.6,66
or_r2_8_e_2.txt,0,0,0,109.1,0,0,0,36.4,0,0,0,0,0,0,0,0,0,0,18.2,0,0,309.1,109.1,54.5,0,18.2,0,0,0,0,0,0,0,18.2,0,36.4,18.2,18.2,0,18.2,0,0,0,36.4,0,0,0,18.2,18.2,0,18.2,36.4,36.4,0,0,72.7,18.2,18.2,127.3,0,0,18.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.4,54.5,0,218.2,72.7,18.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.2,0,0,18.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.2,18.2,0,0,0,0,0,0,0,18.2,18.2,18.2,36.4,0,0,0,0,-10.02,-4.92,-6.29,5.99,1.88,                                             or_r2_8_e_2.txt,9.8,4.4,55
or_r2_9_e_2.txt,0,0,0,54.1,0,0,0,27,0,0,0,0,0,0,0,0,0,0,27,0,0,567.6,81.1,27,0,0,0,0,0,0,0,0,135.1,0,54.1,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,27,0,0,54.1,0,0,0,0,0,0,0,0,0,0,27,0,27,0,0,0,0,27,27,0,135.1,189.2,108.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,27,0,0,0,27,0,0,0,0,0,0,-18.08,-5.73,-7.08,-6.61,-3.63,                                             or_r2_9_e_2.txt,8,5,37
